timestamp,test-class,test-method,time,description,result
2021-09-04 18:28:37.079,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,12513,"[1] recordIndex=0, title=C, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=99.4, description=c, link=null",OK
2021-09-04 18:28:49.681,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,12116,"[2] recordIndex=0, title=Texto con ochenta caracteres aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=99.5, description=Texto con quinientos caracteres aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, link=null",OK
2021-09-04 18:28:57.006,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,6939,"[3] recordIndex=11, title=Create TaskValidators1, executionStart=2017/08/13 19:39, executionEnd=2018/10/13 19:39, workload=0.0, description=ejemplo, link=null",Expected value 'Create TaskValidators1' in attribute 0 of record 11, but found 'Create UserService'
2021-09-04 18:29:08.737,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,11072,"[4] recordIndex=0, title=Create TaskValidators2, executionStart=2017/08/13 19:39, executionEnd=2017/08/18 19:40, workload=99.58, description=Create validators of task entity, link=https://github.com",OK
2021-09-04 18:29:15.108,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5726,"[1] recordIndex=0, title=null, executionStart=null, executionEnd=null, workload=null, description=null, link=null, isPublic=false",OK
2021-09-04 18:29:21.403,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5852,"[2] recordIndex=1, title=million dollar, executionStart=a, executionEnd=a, workload=a, description=sex, link=http://sex.com, isPublic=false",OK
2021-09-04 18:29:27.835,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6024,"[3] recordIndex=2, title=Create ShoutQueries, executionStart=2023/04/14 19:39, executionEnd=2022/04/13 19:39, workload=-1, description=Create changes of task entity, link=github, isPublic=true",OK
2021-09-04 18:29:33.857,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5634,"[4] recordIndex=3, title=Create ShoutQueries, executionStart=2023/04/13 19:39, executionEnd=2023/08/14 19:39, workload=14400.23, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 18:29:40.165,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5864,"[5] recordIndex=4, title=Create ShoutQueries, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=144.233, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 18:29:46.381,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5840,"[6] recordIndex=5, title=Create ShoutQueries, executionStart=2021/04/13 19:39, executionEnd=2021/04/14 19:39, workload=1.69, description=Create changes of task entity, link=https://github.com/task1, isPublic=false",OK
2021-09-04 18:29:52.766,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,5998,"[7] recordIndex=6, title=ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd, executionStart=2024/04/13 19:39, executionEnd=2026/04/14 19:39, workload=1, description=ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd, link=https://github.com/task1, isPublic=false",OK
