timestamp,test-class,test-method,time,description,result
2021-09-05 12:10:05.678,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updatePositive,11940,"[1] index=0, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskController;Create TaskView;Create TaskRepository;Create TaskQueries",OK
2021-09-05 12:10:12.702,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updateNegative,6651,"[1] index=0, title=null, description=null, executionStart=null, executionEnd=null, workload=null, isPublic=false, tasks=null",OK
2021-09-05 12:10:19.984,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updateNegative,6863,"[2] index=1, title=Nigerian dreams, description=sexo sex viagra cialis, executionStart=aa, executionEnd=b, workload=null, isPublic=false, tasks=null",OK
2021-09-05 12:10:27.187,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updateNegative,6768,"[3] index=2, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2022/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=null",OK
2021-09-05 12:10:35.374,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updateNegative,7741,"[4] index=3, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
2021-09-05 12:10:44.177,acme.testing.manager.workplan.ManagerWorkplanUpdateTest,updateNegative,8366,"[5] index=4, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2017/08/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=true, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
