timestamp,test-class,test-method,time,description,result
2021-09-05 10:54:32.061,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createPositive,9021,"[1] index=14, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskController;Create TaskView;Create TaskRepository;Create TaskQueries",OK
2021-09-05 10:54:36.173,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,3752,"[1] index=0, title=null, description=null, executionStart=null, executionEnd=null, workload=null, isPublic=null, tasks=null",null
2021-09-05 10:54:40.326,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,3797,"[2] index=1, title=Nigerian dreams, description=sexo sex viagra cialis, executionStart=aa, executionEnd=b, workload=null, isPublic=false, tasks=null",null
2021-09-05 10:54:44.592,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,3817,"[3] index=2, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2022/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=null",null
2021-09-05 10:54:50.359,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5353,"[4] index=3, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
2021-09-05 10:54:56.433,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5677,"[5] index=4, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2017/08/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=true, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
