timestamp,test-class,test-method,time,description,result
2021-09-05 17:44:09.398,acme.testing.manager.task.ManagerTaskListTest,listPositive,6523,"[1] index=0, title=Planear el futuro de la escuela, executionStart=2019/05/01 12:00, executionEnd=2022/06/22 20:00, workload=99.0, description=Pensar en ello, link=https://github.com/task20",OK
2021-09-05 17:44:15.38,acme.testing.manager.task.ManagerTaskListTest,listPositive,5622,"[2] index=1, title=Try Task, executionStart=2021/05/01 12:00, executionEnd=2024/06/22 20:00, workload=98.0, description=try it, link=https://github.com/task21",OK
2021-09-05 17:44:21.209,acme.testing.manager.task.ManagerTaskListTest,listPositive,5481,"[3] index=2, title=Try Hard, executionStart=2020/05/01 12:00, executionEnd=2022/06/22 20:00, workload=94.0, description=keep trying, link=https://github.com/task22",OK
2021-09-05 17:44:24.837,acme.testing.manager.task.ManagerTaskListTest,listPositiveNoTaskPrivate,3266,"[1] index=0, title=Planear el futuro de la escuela, executionStart=2019/05/01 12:00, executionEnd=2022/06/22 20:00, workload=99.0, description=Pensar en ello, link=https://github.com/task20",OK
2021-09-05 17:44:28.43,acme.testing.manager.task.ManagerTaskListTest,listPositiveNoTaskPrivate,3246,"[2] index=1, title=Try Task, executionStart=2021/05/01 12:00, executionEnd=2024/06/22 20:00, workload=98.0, description=try it, link=https://github.com/task21",OK
2021-09-05 17:44:32.046,acme.testing.manager.task.ManagerTaskListTest,listPositiveNoTaskPrivate,3281,"[3] index=2, title=Try Hard, executionStart=2020/05/01 12:00, executionEnd=2022/06/22 20:00, workload=94.0, description=keep trying, link=https://github.com/task22",OK
2021-09-05 17:44:32.829,acme.testing.manager.task.ManagerTaskListTest,listNegative,437,"listNegative()",OK
