timestamp,test-class,test-method,time,description,result
2021-09-05 11:01:08.188,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createPositive,8972,"[1] index=14, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskController;Create TaskView;Create TaskRepository;Create TaskQueries",OK
2021-09-05 11:01:12.458,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,3890,"[1] index=0, title=null, description=null, executionStart=null, executionEnd=null, workload=null, isPublic=null, tasks=null",null
2021-09-05 11:01:17.434,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,4587,"[2] index=1, title=Nigerian dreams, description=sexo sex viagra cialis, executionStart=aa, executionEnd=b, workload=null, isPublic=false, tasks=null",OK
2021-09-05 11:01:22.378,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,4548,"[3] index=2, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2022/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=null",OK
2021-09-05 11:01:28.16,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5388,"[4] index=3, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2020/02/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=false, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
2021-09-05 11:01:34.184,acme.testing.manager.workplan.ManagerWorkplanCreateTest,createNegative,5622,"[5] index=4, title=Prueba Workplan, description=just trying with a new workplan, executionStart=2017/08/12 08:00, executionEnd=2021/04/15 17:00, workload=95.30, isPublic=true, tasks=Create TaskRepository;Create TaskValidators;Create TaskQueries",OK
